"","PAname","x","y"
"120","Käsivarren Erämaa",21.61,69.04
"121","Lemmenjoen Kansallispuisto",25.5,68.5
"122","Naravni Rezervat Ormoške Lagune",16.25,46.25
"123","2001056 Torneträsk-Soppero Fjällurskog",21.2,68.05
"124","2001842 Vindelfjällen",15.98,65.87
"125","Wollemi",150.58,-32.97
"126","Ilulissat Isfjord",-49.57,69.16
"127","Yellabinna",133.75,-31
"128","Danggali",140.5,-33.5
"129","Nullarbor",130.07,-31.3
"130","Tatshenshini-Alsek Park",-137.54,59.43
"131","Huchsduwachsdu Nuyem Jees/Kitlope Heritage Conservancy",-127.65,53.05
"132","Bay du Nord Wilderness Reserve",-54.85,48.05
"133","Woodland Caribou Provincial Park (Wilderness Class)",-94.75,51
"134","Wabakimi Provincial Park",-89.58,50.79
"135","Quetico Provincial Park (Wilderness Class)",-91.5,48.5
"136","Opasquia Provincial Park",-93,53.5
"137","Polar Bear Provincial Park",-84.18,55.04
"138","Numaykoos Lake Provincial Park",-96,58
"139","Sand Lakes Provincial Park",-98.82,57.88
"140","Caribou River Provincial Park",-96.75,59.5
"141","Nueltin Lake Provincial Park",-99.61,59.54
"142","Clearwater River Provincial Park",-109.04,56.89
"143","Athabasca Sand Dunes Provincial Park",-108.75,59.06
"144","Willmore Wilderness Park",-119.1,53.65
"145","Pink Lake",-104.5,56.75
"146","Kazan Wildland Provincial Park",-110.92,59.31
"147","Richardson Wildland Provincial Park",-111,58.19
"148","Caribou Mountains Wildland Provincial Park",-115,59
"149","Wells Gray Park",-120.08,52.19
"150","Mount Edziza Park",-130.67,57.67
"151","Spatsizi Plateau Wilderness Park",-128.5,57.5
"152","Northern Rocky Mountains Park",-124.33,58.25
"153","Stikine River Park",-129,58
"154","Dune Za Keyih Park [a.k.a. Frog-Gataga Park]",-126.25,58.3
"155","Ts'ilOs Park (a.k.a. Ts'yl-os Park)",-123.92,51.08
"156","Edéhzhíe Protected Area",-119.8,62.2
"157","Purcell Wilderness Conservancy Park",-116.5,50
"158","Ni'iinlii Njik (Fishing Branch)",-139.25,66.5
"159","Banks Island Bird Sanctuary No. 1",-123.76,72.58
"160","Thelon Wildlife Sanctuary",-104.21,63.86
"161","Thelon Wildlife Sanctuary",-102.41,64.59
"162","Bomu",24.2,4.7
"163","Fiordland National Park",167.31,-45.43
"164","Mount Aspiring National Park",168.97,-44.19
"165","Kahurangi National Park",172.5,-41.25
"166","National Park Iona",12.29,-16.58
"167","National Park Quiçãma",13.69,-9.81
"168","National Park Cameia",21.61,-11.89
"169","National Park Bicuar",14.81,-15.31
"170","National Park Mupa",15.58,-16
"171","National Park Luengue-Luiana",22.58,-17.31
"172","National Park Mavinga",20.89,-15.54
"173","Boucle de la Pendjari",1.5,11
"174","W (Benin)",2.69,11.81
"175","Kabore-Tambi",-1.25,11.5
"176","W du Burkina Faso",2.05,11.85
"177","Viruá National Park",-61.12,1.25
"178","Environmental Protection Area of Cananéia-Iguape-Peruíbe",-47.75,-24.75
"179","Wangchuck Centennial Park",90.75,28
"180","Jigme Dorji",89.75,28
"181","Parc Culturel du Tassili (Illizi)",8.97,25.05
"182","Yabello",38.5,5
"183","Mole",-1.75,9.75
"184","Digya",-0.25,7.5
"185","Hemis",77.33,33.58
"186","Desert",70.75,26.25
"187","Gangotri",79.08,31.08
"188","Kavir",52.5,34.58
"189","Urumieh lake",45.5,37.75
"190","Daisetsuzan",143,43.5
"191","Altun Emel",78.75,44
"192","Ele Alatau",77.85,43.05
"193","Tsavo East",38.8,-2.93
"194","Tsavo West",38.25,-3.45
"195","Virachey",107.11,14.46
"196","Altai Tavan range",88.6,48.55
"197","Namib-Naukluft",15.34,-24.64
"198","Orxoni xundii",102.75,47.5
"199","Ai-Ais Hot Springs",17.31,-27.81
"200","Khao Yai",101.42,14.42
"201","Khan Khukhii-Khyragas Lake",93.35,49.05
"202","Shey-Phoksundo",82.95,29.35
"203","Ulaagchini khar nuur",95.5,48.42
"204","Khuvsgul",100.82,51.14
"205","Tengis-Shishged",98.67,51.5
"206","Myangan-Ugalzat",92.88,46.25
"207","Khangai nuruu",101.32,46.92
"208","Gobi Gurvansaikhan range",101.6,43.72
"209","Onon - Balj /A/",111.25,49
"210","Gorkhi - Terelj",107.65,48.05
"211","Tarvagatai nuruu",98.14,48.14
"212","Onon - Balj river /B/",112,49
"213","Ix Bogd mountain",100.5,45
"214","Mongol Els",95,47.5
"215","Munkhkhairkhan uul-Uenchiin khavtsal",91.75,46.75
"216","Khan-Khokhi Khyargas mountain",94.75,49.5
"217","Har Us Nuur",92.71,47.88
"218","Nyika National Park",34,-10.5
"219","Kasungu National Park",33,-13
"220","Khaudum",20.75,-18.75
"221","Skeleton Coast Park",12.72,-19.14
"222","Etosha",15.75,-19
"223","Parc W Niger",2.45,12.35
"224","Cross River",8.65,5.65
"225","Kainji Lake",4.39,9.96
"226","Old Oyo",4,8.75
"227","Yankari",10.42,9.92
"228","Gashaka-Gumti",11.75,7.39
"229","Al Wusta Wildlife Reserve",57.25,20
"230","Jabal Samhan Nature Reserve",55,17.5
"231","Kirthar",67.5,25.75
"232","Khunjerab",75.33,36.67
"233","Darién",-77.69,7.88
"234","Samar Island",125.17,11.75
"235","Jabal Aja",41.35,27.45
"236","Ibex Reserve (Hawtat Bani Tamin)",46.5,23.5
"237","Dinder",35.31,12.36
"238","Niokolo Koba",-13,13
"239","Southern",28.78,6.09
"240","Boma",34.06,6.34
"241","Badingilo",32.19,5.31
"242","Badingilo Extension",32.6,5.85
"243","Boma Extension",34,7.12
"244","Central Suriname",-56.38,4.04
"245","Thap Lan",102.25,14.38
"246","Kaengkrachan Forest Complex",99.5,12.75
"247","Khuen Si Nakarin",99,14.75
"248","Таджикский Национальный парк",72.44,38.54
"249","Podolskie Tovtry",26.67,48.83
"250","Kobuk Valley",-159,67.31
"251","Kenai Fjords",-150.25,59.75
"252","Big Bend",-103.25,29.25
"253","Great Smoky Mountains",-83.65,35.55
"254","Wrangell-St. Elias",-142.58,61.24
"255","Yellowstone",-110.65,44.75
"256","Glacier",-113.75,48.5
"257","Grand Canyon",-112.65,36.1
"258","Ugam-Chatkal",70.2,41.7
"259","Soufriere",-61.25,13.25
"260","Canaima",-61.81,5.49
"261","Duida-Marahuaca",-65.5,3.5
"262","Serranía de la Neblina",-65.92,1.14
"263","Jaua Sarisariñama",-64.45,4.85
"264","Cinaruco-Capanaparo",-67.9,6.85
"265","Parima-Tapirapecó",-64.62,2.45
"266","Yapacana",-66.88,3.75
"267","Aguaro-Guariquito",-66.5,8.25
"268","Sierra Nevada",-71,8.5
"269","Perijá",-72.95,9.65
"270","Sierra de la Culata",-71,8.75
"271","Ciénagas del Catatumbo",-72,9.5
"272","Mariusa",-61.5,9.5
"273","Gonarezhou",31.75,-21.75
"274","Hwange",26.5,-19.15
"275","Mana Pools",29.5,-16
"276","Midongy du sud",47,-23.5
"277","Makira",49.39,-15.25
"278","Mikea",43.5,-22.25
"279","Masoala",50,-15.5
"280","Taman Negara",102.5,4.5
"281","Tanjung Puting",111.95,-3.15
"282","Tinfunque",-60,-24
"283","Defensores del Chaco",-60.31,-20.19
"284","Medanos del Chaco",-61.61,-20.46
"285","Complejo de Humedales Cuyabeno Lagartococha Yasuní",-75.75,-0.5
"286","Yangudi Rassa",40.75,11
"287","Omo",35.83,6
"288","Alatish",35.55,12.15
"289","Bale Mountains",39.62,6.75
"290","Gambella",33.75,8
"291","Babile Elephant",42.4,8.65
"292","Betung Kerihun",113.15,1.3
"293","Bogani Nani Wartabone",123.75,0.5
"294","Bukit Baka -  Bukit Raya",112.58,-0.58
"295","Bukit Barisan Selatan",104,-5.25
"296","Kayan Mentarang",115.67,3.17
"297","Lorentz",138.03,-4.42
"298","Sebangau",113.65,-2.5
"299","Kerinci Seblat",101.68,-2.36
"300","Lore Lindu",120.08,-1.42
"301","Gunung Leuser",97.75,3.43
"302","Réserve de parc national des Monts-de-Puvirnituq",-77.32,61.04
"303","Parc national Kuururjuaq",-64.61,58.61
"304","San Guillermo",-69.58,-29.03
"305","Corcovado",-72.75,-43.5
"306","Torres del Paine",-73,-51
"307","Alberto De Agostini",-70.57,-54.71
"308","Vicente Perez Rosales",-72.15,-41.05
"309","Bernardo O'Higgins",-74.12,-49.49
"310","Laguna San Rafael",-73.95,-46.92
"311","Llullaillaco",-68.85,-24.95
"312","Pumalín Douglas Tompkins",-72.45,-42.65
"313","parc national Ulittaniujalik",-65.1,57.85
"314","Réserve de parc national de la Baie-aux-Feuilles",-69.8,58.84
"315","Réserve de parc national Assinica",-75.69,50.64
"316","Sierra del Divisor",-74.04,-7.21
"317","Yaguas",-71.42,-2.81
"318","del Río Abiseo",-77.17,-7.67
"319","Nahuel Huapi",-71.5,-41
"320","Réserve de territoire pour fins d'aire protégée du Lac-Burton-Rivière-Roggan-et-la-Pointe-Louis-XIV",-78.61,54.48
"321","Réserve de biodiversité projetée du Lac-Sérigny",-69.75,55.5
"322","Réserve aquatique projetée de la rivière Moisie",-66.75,51.75
"323","Réserve de biodiversité projetée Albanel-Témiscamie-Otish",-72.75,51.56
"324","Réserve de biodiversité projetée de la Rivière-Delay",-71,56.25
"325","Réserve de biodiversité projetée des basses collines du lac Guernesé",-58,51.75
"326","Réserve de biodiversité projetée de la Rivière-Vachon",-72.25,60.5
"327","Réserve de biodiversité projetée de la vallée de la rivière Natashquan",-61.61,51.32
"328","Réserve de territoire pour fins d'aire protégée de la Rivière-George",-65.22,56.97
"329","Parc national Tursujuq",-74.91,56.38
"330","Réserve de biodiversité projetée Paakumshumwaau-Maatuskaau",-77.75,52.94
"331","del Manu",-71.68,-12.11
"332","Huascarán",-77.45,-9.45
"333","de Cutervo",-78.75,-6.25
"334","Patagonia",-72.25,-47
"335","Alto Purus",-71.48,-10.83
"336","Cordillera Azul",-76.04,-7.61
"337","Bahuaja - Sonene",-69.4,-13.35
"338","Otishi",-73.67,-11.75
"339","Güeppi-Sekime",-75.15,-0.45
"340","Lanín",-71.45,-39.85
"341","Talampaya",-67.92,-29.92
"342","Urho Kekkosen Kansallispuisto",28.46,68.11
"343","Vatnajökulsþjóðgarður",-16.92,64.66
"344","Hardangervidda",7.39,60.04
"345","Saltfjellet-Svartisen",14.5,66.58
"346","South Luangwa",31.6,-13.15
"347","North Luangwa",32.17,-11.83
"348","Lukusuzi",32.55,-12.85
"349","Mweru Wantipa",29.5,-8.5
"350","Nsumbu",30.38,-8.75
"351","Hkakaborazi National Park",97.85,28.05
"352","Nationalparken i Nord- og Østgrønland",-34.28,78.19
"353","Guyane (Parc Amazonien)",-53.39,3.18
"354","Alpine",147.5,-37
"355","Garig Gunak Barlu",132.35,-11.45
"356","Kafue",25.92,-15.39
"357","Liuwa Plain",22.5,-14.5
"358","Sioma Ngwezi",23.5,-17.25
"359","Lower Zambezi",29.75,-15.5
"360","Hamelin Station",114.5,-26.5
"361","Newhaven",131.08,-22.92
"362","Kalamurina",137.61,-27.96
"363","Bon Bon Station",135.5,-30.5
"364","Kakadu",132.3,-12.93
"365","Watarru",129.85,-27.25
"366","Walalkara",131.75,-27.65
"367","Silver Plains",143.5,-14
"368","Meenthena Station",120.5,-21.5
"369","Credo",120.55,-30.15
"370","Moolgoolool",119.31,-26.19
"371","Waldburg",117.25,-24.62
"372","Giralia",114.55,-22.65
"373","Wanna",116.85,-23.55
"374","Kosciuszko",148.53,-36.14
"375","Morton",150.25,-34.88
"376","Sturt",141.88,-29.38
"377","Blue Mountains",150.25,-33.75
"378","Carnarvon",147.82,-24.96
"379","Great Sandy",153.04,-25.61
"380","Girringun",145.75,-18.5
"381","Jardine River",142.55,-11.15
"382","Staaten River",142.85,-16.55
"383","Oyala Thumotang (Cape York Peninsula Aboriginal Land)",142.67,-13.67
"384","Boodjamulla (Lawn Hill)",138.25,-18.75
"385","Currawinya",144.5,-28.5
"386","Diamantina",141.19,-23.81
"387","Parque Nacional Das Nascentes Do Rio Parnaiba",-45.97,-9.92
"388","Rinyirru (Lakefield) (Cape York Peninsula Aboriginal Land)",144.12,-14.94
"389","Munga-Thirri",138.39,-24.96
"390","Olkola (Cape York Peninsula Aboriginal Land)",143.25,-15.39
"391","Franklin-Gordon Wild Rivers",145.75,-42.5
"392","Southwest",146.31,-43.19
"393","Wyperfeld",141.85,-35.55
"394","Murray - Sunset",141.35,-34.6
"395","Cape Arid",123.33,-33.67
"396","Prince Regent",125.33,-15.33
"397","Millstream Chichester",117.5,-21.5
"398","Karijini",118.31,-22.69
"399","Fitzgerald River",119.65,-33.95
"400","Drysdale River",127,-15
"401","Karlamilyi",122.6,-22.35
"402","Collier Range",119.35,-24.55
"403","Purnululu",128.5,-17.5
"404","King Leopold Ranges",125.25,-17.17
"405","Walyarta",121.5,-19.75
"406","Parque Nacional Montanhas Do Tumucumaque",-53,1.98
"407","Parque Nacional Grande Sertão Veredas",-46,-15
"408","Parque Estadual De Guajará-Mirim",-64.35,-10.55
"409","Parque Estadual Do Matupiri",-61.15,-5.05
"410","Parque Estadual De Corumbiara",-61.83,-13.17
"411","Parque Nacional De Anavilhanas",-60.75,-2.75
"412","Parque Nacional Do Acari",-59.25,-6.25
"413","Parque Estadual Chandless",-70.31,-9.97
"414","Parque Nacional Dos Campos Amazônicos",-61.25,-8.43
"415","Parque Nacional Da Serra Da Cutia",-64.15,-11.55
"416","Parque Estadual Sucunduri",-58.9,-8.15
"417","Parque Nacional Do Pico Da Neblina",-65.98,0.44
"418","Parque Nacional Do Jamanxim",-55.75,-5.75
"419","Parque Nacional De Pacaás Novos",-63.5,-11.12
"420","Parque Estadual Da Serra Do Mar",-46,-23.75
"421","Parque Nacional Serra Da Mocidade",-62.05,1.05
"422","Parque Nacional Mapinguari",-64.66,-8.51
"423","Parque Nacional Da Serra Do Pardo",-53,-5.75
"424","Parque Nacional Da Serra Do Divisor",-73.25,-8.15
"425","Parque Nacional Serra Das Confusões",-43.81,-9
"426","Parque Estadual Serra Do Aracá",-63.39,1.5
"427","Parque Nacional Do Juruena",-58.44,-8.08
"428","Parque Estadual Igarapés Do Juruena",-58.75,-8.88
"429","Parque Nacional Do Jaú",-62.64,-2.21
"430","Parque Nacional Da Chapada Dos Veadeiros",-47.35,-13.95
"431","Parque Nacional Do Rio Novo",-56.53,-7.69
"432","Parque Nacional Do Araguaia",-50.04,-10.61
"433","Parque Nacional Da Amazônia",-56.58,-4.25
"434","Parque Nacional Nascentes Do Lago Jari",-62.75,-5.75
"435","Parque Estadual Do Araguaiaa",-50.75,-12.25
"436","Parque Nacional Do Boqueirão Da Onça",-41.5,-10
"437","Comoe National Park",-3.75,9.25
"438","Taï National Park",-7,5.75
"439","Strathcona Park",-125.81,49.69
"440","Algonquin Provincial Park (Natural Environment Class)",-78.5,45.85
"441","Atikaki Provincial Park",-95.94,51.62
"442","Kaskatamagan Wildlife Management Area",-90.5,57
"443","Asatiwisipe Aki Traditional Use Planning Area",-96.61,52.98
"444","Pauingassi First Nation Traditional Use Planning Area",-95.65,52.45
"445","Lac La Ronge Provincial Park",-104.75,55.25
"446","Akami–Uapishku - Kakkasuak - Mealy Mountains National Park Reserve Of Canada",-58.45,53.52
"447","Nahanni National Park Reserve Of Canada",-125.99,61.66
"448","Mount Robson Park",-118.85,52.95
"449","Tweedsmuir Park",-126.29,52.92
"450","Nááts'Ihch'Oh National Park Reserve Of Canada",-128.5,62.67
"451","Torngat Mountains National Park Of Canada",-63.9,59.13
"452","Murchison Falls",31.75,2.25
"453","Atlin/A Teix Gi Aan Tlein Park",-133.83,59.17
"454","Tuktut Nogait National Park Of Canada",-121.75,68.72
"455","Vuntut National Park Of Canada",-139.75,68.5
"456","Wapusk National Park Of Canada",-93.13,57.87
"457","Neah Conservancy",-128.68,59.39
"458","Tombstone",-138.75,64.5
"459","Asi Keyi",-140.25,61.5
"460","Kusawa",-136.25,60.5
"461","Aulavik National Park Of Canada",-119.62,73.67
"462","Auyuittuq National Park Of Canada",-66.05,67.39
"463","Banff National Park Of Canada",-116.12,51.54
"464","Ivvavik National Park Of Canada",-139.62,69.19
"465","Jasper National Park Of Canada",-117.98,52.82
"466","Kluane National Park Reserve Of Canada",-139.18,60.68
"467","Prince Albert National Park Of Canada",-106.5,54
"468","Quttinirpaaq National Park Of Canada",-71.56,82.18
"469","Riding Mountain National Park Of Canada",-100.39,50.96
"470","Sirmilik National Park Of Canada",-79.71,73.04
"471","Wood Buffalo National Park Of Canada",-113.12,59.12
"472","Wood Buffalo National Park Of Canada",-114.37,60.48
"473","Serengeti National Park",34.75,-2.38
"474","Tarangire National Park",36.05,-4.15
"475","Ruaha National Park",34.58,-7.58
"476","Mikumi National Park",37.25,-7.35
"477","Katavi National Park",31.35,-6.95
"478","Bassin de la Lufira",26.99,-9.57
"479","Odzala Kokoua",14.85,1
"480","Mbam et Djerem",12.85,5.95
"481","Lobéké",16,2.25
"482","Boumba Bek",15,2.5
"483","Nki",14.5,2.5
"484","Udzungwa Mountain",36.55,-7.85
"485","Salonga",21.33,-2.21
"486","Manovo-Gounda-Saint Floris",21.36,8.96
"487","Okapis",28.5,1.5
"488","Bamingui-Bangoran",19.69,8.08
"489","Bouba Ndjida",14.5,8.5
"490","Faro",12.67,8.17
"491","Campo-Ma'an",10.25,2.5
"492","Kahuzi-Biega",28.12,-2.25
"493","Maiko",27.65,-0.25
"494","Garamba",29.5,4.19
"495","Bomu",25.85,5.05
"496","Nouabalé-Ndoki",16.5,2.75
"497","Virunga",29.57,-0.39
"498","Monte Alén",10,1.5
"499","Azul Meámbar",-87.75,14.75
"500","Zakouma",19.5,11
"501","Queen Elizabeth",29.95,-0.15
"502","Serrania de Chiribiquete",-73.01,0.84
"503","El Cocuy",-72,6.5
"504","Tinigua",-74,2.5
"505","Sierra de la Macarena",-73.53,2.69
"506","Rio Pure",-70.11,-1.96
"507","Cordillera de los Picachos",-74.5,3
"508","Sumapaz",-74,4
"509","Paramillo",-76.11,7.75
"510","Talamanca Range-La Amistad Reserves / La Amistad National Park",-83.12,9.38
"511","Noel Kempff Mercado National Park",-60.95,-14.22
"512","Río Plátano Biosphere Reserve",-85.17,15.33
"513","Lut Desert",58.84,30.34
"514","Mount Kenya National Park/Natural Forest",37.5,0
"515","Landscapes of Dauria",115.28,49.93
"516","Cliff of Bandiagara (Land of the Dogons)",-3.25,14.5
"517","Olympic National Park",-123.94,47.88
"518","Great Smoky Mountains National Park",-83.5,35.5
"519","Three Parallel Rivers of Yunnan Protected Areas",99.29,27.6
"520","Xinjiang Tianshan",82.44,42.62
"521","Qinghai Hoh Xil",92.03,35.5
"522","Sichuan Giant Panda Sanctuaries - Wolong, Mt Siguniang and Jiajin Mountains",102.93,30.66
"523","Central Sikhote-Alin",136.35,45.25
"524","Golden Mountains of Altai",87.68,50.41
"525","Lake Baikal",107.57,53.36
"526","Lena Pillars Nature Park",126.93,60.91
"527","Putorana Plateau",94.14,68.94
"528","Virgin Komi Forests",58.99,63.71
"529","Volcanoes of Kamchatka",158.96,54.34
"530","Western Caucasus",40.15,43.95
"531","The Ahwar of Southern Iraq: Refuge of Biodiversity and the Relict Landscape of the Mesopotamian Cities",46.9,31.05
"532","Sangay National Park",-78.38,-1.88
"533","Los Glaciares National Park",-73.2,-49.93
"534","Península Valdés",-64.15,-42.45
"535","Wet Tropics of Queensland",145.69,-17.5
"536","Gondwana Rainforests of Australia",152.28,-29.98
"537","Willandra Lakes Region",143.11,-33.68
"538","Ngorongoro Conservation Area",35.19,-3.19
"539","Selous Game Reserve",37.47,-8.84
"540","Dja Faunal Reserve",13.11,3.04
"541","Ecosystem and Relict Cultural Landscape of Lopé-Okanda",11.5,-0.75
"542","Ennedi Natural and Cultural Reserve",22.42,16.82
"543","Maloti-Drakensberg Park",29.33,-29.25
"544","Heden",-24,71
"545","Tuz Lake",33.5,38.69
"546","Polis'kyi Nature Reserve",28.5,51.5
"547","Syvash Bay",34.75,45.75
"548","Novograd-Volunskoe Game Reserve",27.61,50.75
"549","North Pennine Moors",-2.19,54.31
"550","Niedere Tauern",14.45,47.35
"551","Cuelei",17.25,-15.5
"552","Luachimo River (Chitato)",20.75,-8
"553","Luando Strict Nature Reserve",17.3,-10.98
"554","Ouémé river basin",2.08,9
"555","South-east Botswana",25.35,-25.1
"556","Bombo-Lumene Game Reserve",16,-4.5
"557","Ngiri",18.55,1.02
"558","Lomako - Yekokora",21.25,1
"559","LaLuama - Katanga - Mount Kabobo",29.05,-5.15
"560","André Félix National Park complex",23.5,9.25
"561","Bozoum",16,6.5
"562","Zémongo Faunal Reserve",25.15,6.6
"563","Ngotto",17.08,3.92
"564","Léfini Faunal Reserve",15.46,-2.89
"565","Conkouati National Park",11.5,-4
"566","Parc National de l'Ahaggar",5.46,23.46
"567","Lake Nasser",32.48,22.89
"568","St Katherine Protectorate",33.92,28.42
"569","Western Plain: Barka river",37.45,16.15
"570","Shire lowlands in the Tekeze valley",38,14
"571","Bahir Dar - Lake Tana",37.25,12
"572","Mid-Abbay (Blue Nile) river basin",37.25,10.2
"573","Metu - Gore - Tepi forests",35.19,7.47
"574","Anferara forests",38.75,6
"575","Lower Wabi Shebelle river and Warder",43.93,5.57
"576","Bogol Manyo - Dolo",41.75,4.5
"577","Gamba Protected Areas Complex",10.08,-2.42
"578","Minkébé Forest Reserve",12.82,1.61
"579","Léconi grasslands",14.08,-1.92
"580","Mafou",-10.5,10.5
"581","Dulombi",-14.58,11.58
"582","Dida Galgalu desert",38.25,3
"583","Lake Turkana",36.15,3.5
"584","Masai Mara",35.25,-1.39
"585","Mau forest complex",35.65,-0.55
"586","Dakhla area",-15.81,22.14
"587","Aguelhok",0.75,19
"588","Boucle du Baoulé",-8.85,13.95
"589","Zambezi River Delta",35.42,-18.69
"590","Eastern Caprivi wetlands",24.1,-18.05
"591","Tsumkwe pan system",20.5,-19.75
"592","Dilia de Lagané",12.5,15
"593","Hadejia-Nguru wetlands",10.65,12.55
"594","Falgore and Lame Burra Game Reserves",9.15,10.75
"595","Gezira",33,14.42
"596","En Nahud",28.5,12.5
"597","Radom",24.08,9.25
"598","Imatong mountains",32.47,4.08
"599","Kidepo",33.31,4.31
"600","Ferlo North",-13.89,15.68
"601","Ferlo South",-13.89,14.75
"602","Delta du Saloum",-16.5,14
"603","Daalo",47.5,11
"604","Saylac",43.55,10.85
"605","Lascaanod - Taleex - Ceel Chebet",48.29,8.79
"606","Ceel Hammure",47.75,7
"607","Xarardheere - Awale Rugno",47.92,4.58
"608","War Harqaan - isha Dolondole",44.25,3.75
"609","Laag Dheere",41.5,0.5
